prompt,layer_14,layer_13,layer_2,layer_5,layer_4,layer_3,layer_12,cfg,layer_15,layer_9,layer_0,layer_7,layer_18,layer_16,layer_11,layer_10,layer_17,layer_6,layer_1,layer_8
prompt_27,0.9805606007575989,0.9812034964561462,0.0,0.9633002281188965,0.9731902480125427,0.9714235663414001,0.9623652696609497,0.9739177823066711,0.98054438829422,0.9814384579658508,0.0,0.975114107131958,0.9659150242805481,0.9743256568908691,0.9788010120391846,0.9814416766166687,0.9716530442237854,0.9743704795837402,0.0,0.9935052394866943
prompt_68,0.9971271753311157,0.9601741135120392,0.999269425868988,0.99245685338974,0.999626636505127,0.9986671805381775,0.9977780282497406,0.9990888833999634,0.9960463643074036,0.9991865158081055,0.0,0.9977895021438599,0.9880805313587189,0.9891571998596191,0.993956059217453,0.9916976988315582,0.9864729642868042,0.9845252335071564,0.0,0.9979891777038574
prompt_86,0.9953945875167847,0.861369788646698,0.0,0.0,0.988153338432312,0.0,0.6348659992218018,0.9121868014335632,0.9926781058311462,0.9632104337215424,0.0,0.990156352519989,0.0,0.9801482558250427,0.9477254748344421,0.9970529973506927,0.9965740442276001,0.9939500093460083,0.0,0.9800984859466553
prompt_15,0.9476367235183716,0.9537526369094849,0.990223228931427,0.9401475191116333,0.9599885940551758,0.9812519550323486,0.9553098082542419,0.9866835474967957,0.5129703283309937,0.9571754336357117,0.0,0.9538185000419617,0.9836153388023376,0.9679194092750549,0.9861735701560974,0.9880908727645874,0.9891380071640015,0.9683976769447327,0.0,0.9432600736618042
prompt_62,0.9893968105316162,0.9917911887168884,0.944452166557312,0.9889316558837891,0.9939415454864502,0.99226975440979,0.9881488680839539,0.9891091585159302,0.9793764352798462,0.9943854808807373,0.0,0.9947742223739624,0.9945175051689148,0.9982351064682007,0.9940158724784851,0.9907574653625488,0.0,0.9922654032707214,0.0,0.9929348826408386
prompt_88,0.0,0.0,0.0,0.0,0.9883018732070923,0.9279443025588989,0.0,0.0,0.0,0.0,0.0,0.7663091421127319,0.0,0.0,0.0,0.0,0.0,0.9810210466384888,0.0,0.8463625311851501
prompt_11,0.8976805210113525,0.877122163772583,0.0,0.0,0.0,0.0,0.9047868251800537,0.865219235420227,0.0,0.8193748593330383,0.0,0.0,0.0,0.0,0.0,0.9925793409347534,0.0,0.0,0.0,0.0
prompt_66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_82,0.9969711601734161,0.99737548828125,0.9678159952163696,0.9852730631828308,0.9945684671401978,0.9848585724830627,0.9862152934074402,0.9988941252231598,0.9926076829433441,0.9976552128791809,0.0,0.9980153441429138,0.9956522881984711,0.9939487874507904,0.9991822242736816,0.995187371969223,0.9977346956729889,0.9950839877128601,0.0,0.9699583649635315
prompt_54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
