prompt,layer_8,layer_6,layer_1,layer_20,layer_27,layer_12,layer_15,layer_0,layer_7,layer_9,layer_14,layer_13,layer_26,layer_21,layer_19,layer_10,layer_17,layer_22,layer_25,layer_4,layer_3,cfg,layer_24,layer_23,layer_16,layer_11,layer_18,layer_2,layer_5
prompt_80,0.9960476160049438,0.9936951398849487,0.0,0.8359646797180176,0.0,0.9986782371997833,0.9706628918647766,0.0,0.9957273602485657,0.9992195963859558,0.9903673231601715,0.9933785200119019,0.0,0.9943600594997406,0.9437493681907654,0.0,0.9913244545459747,0.9446788430213928,0.0,0.9917027950286865,0.9887058138847351,0.9567663669586182,0.9892517626285553,0.9919393658638,0.978516697883606,0.9829278886318207,0.9986355304718018,0.0,0.9987769722938538
prompt_64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97115758061409,0.0,0.0,0.9318863749504089,0.0,0.0,0.0,0.0,0.887274980545044
prompt_13,0.0,0.0,0.9160966873168945,0.0,0.0,0.0,0.0,0.8993109464645386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prompt_87,0.0,0.0,0.0,0.8898166418075562,0.0,0.7531791925430298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9896578788757324,0.0,0.8192936778068542,0.0,0.9352355003356934,0.0,0.0,0.0,0.0,0.0,0.9934788346290588,0.0,0.991096019744873,0.0,0.0,0.9744146466255188
prompt_69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9740800261497498,0.0,0.0,0.0,0.0
prompt_14,0.936328113079071,0.9753158688545227,0.8144496083259583,0.0,0.0,0.7152681350708008,0.885560154914856,0.0,0.9067268371582031,0.8050200343132019,0.9052146673202515,0.8925102949142456,0.0,0.0,0.8732526302337646,0.790868878364563,0.0,0.0,0.0,0.849408745765686,0.0,0.9579615592956543,0.0,0.7118666172027588,0.928024172782898,0.7845995426177979,0.7273876070976257,0.0,0.5551875829696655
prompt_63,0.0,0.0,0.0,0.0,0.0,0.0,0.9951894283294678,0.9684430360794067,0.0,0.0,0.0,0.0,0.0,0.9204903244972229,0.0,0.0,0.0,0.9716150164604187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9477858543395996,0.0,0.0
prompt_51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9652021527290344,0.0,0.0,0.0,0.0,0.9957441091537476,0.9368864893913269,0.0,0.7696281671524048
prompt_26,0.9955601990222931,0.9840759634971619,0.9806797802448273,0.997695803642273,0.0,0.9943014085292816,0.9941744208335876,0.0,0.9822818040847778,0.9940244853496552,0.9938808083534241,0.9957057535648346,0.0,0.9921783208847046,0.9930105805397034,0.9926817417144775,0.9964592754840851,0.8967481255531311,0.0,0.9692704677581787,0.9895007312297821,0.9958686828613281,0.9826790690422058,0.9926204681396484,0.9924565255641937,0.9944834411144257,0.9959847927093506,0.0,0.9702375829219818
prompt_5,0.0,0.7925106883049011,0.9086897373199463,0.8446641564369202,0.0,0.0,0.0,0.8142584562301636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9410331845283508,0.0,0.0,0.0,0.8856675624847412,0.0,0.0,0.0,0.0,0.0,0.0,0.9779212474822998,0.0
